strategy,feature,period,bucket,n_events,n_tp1_first,n_stop_first,n_neither,n_ambiguous,n_resolved_non_ambiguous,tp1_first_rate,stop_first_rate,net_path_rate,median_mfe_signal_r,median_mae_signal_r,median_time_to_first_path
MI-001,market_rv_24h,Holdout,MID,2,1,1,0,0,2,0.5,0.5,0.0,1.3434782608695652,-1.098695652173913,1770.0
MI-001,market_rv_24h,Holdout,HIGH,37,17,18,2,0,35,0.4857142857142857,0.5142857142857142,-0.02857142857142857,1.6897233201581028,-1.1203703703703705,675.0
MI-001,market_rv_24h,Full,LOW,8,4,3,1,0,7,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.9953107886089811,-0.7498421717171717,2025.0
MI-001,market_rv_24h,Full,MID,18,4,8,6,0,12,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.5873563218390805,-0.8386956521739131,1642.5
MI-001,market_rv_24h,Full,HIGH,48,22,22,4,0,44,0.5,0.5,0.0,1.5048692584924468,-1.022931208941348,705.0
MI-001,market_return_24h,Discovery,LOW,10,4,4,2,0,8,0.5,0.5,0.0,0.8974688796680498,-0.9591666666666665,982.5
MI-001,market_return_24h,Discovery,MID,5,2,1,2,0,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.7349397590361445,-0.702127659574468,825.0
MI-001,market_return_24h,Discovery,HIGH,18,4,9,5,0,13,0.3076923076923077,0.6923076923076923,-0.38461538461538464,0.5048887893715479,-0.8,1890.0
MI-001,market_return_24h,Holdout,LOW,3,1,2,0,0,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333,2.333333333333333,-1.3731343283582087,345.0
MI-001,market_return_24h,Holdout,MID,4,1,3,0,0,4,0.25,0.75,-0.5,1.0888198757763974,-1.3709090909090909,697.5
MI-001,market_return_24h,Holdout,HIGH,34,18,14,2,0,32,0.5625,0.4375,0.125,1.5609110427951007,-0.9907545624175124,735.0
MI-001,market_return_24h,Full,LOW,13,5,6,2,0,11,0.45454545454545453,0.5454545454545454,-0.09090909090909091,1.1875,-0.96,465.0
MI-001,market_return_24h,Full,MID,9,3,4,2,0,7,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.7349397590361445,-0.8888888888888888,780.0
MI-001,market_return_24h,Full,HIGH,52,22,23,7,0,45,0.4888888888888889,0.5111111111111111,-0.022222222222222223,0.7816067653276955,-0.9848837209302326,810.0
MPG-001,cross_sectional_dispersion_24h,Discovery,LOW,10,5,4,1,0,9,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.9115774482700845,-0.6323699421965318,1395.0
